Product Supplier ID,Product Category,Supplier Office,Product Description,Contact Name,Company,Address 1,Address 2,City,Prov/State,Zip/Postal,Country,Phone,Fax,Email,Web,Represents,Affiliation
12,550,1,TRAVEL INSURANCE,Sean Russell,21ST CENTURY TRAVEL INSURANCE,220 Duncan Mill Rd,Suite 620,Toronto,ON,M3B 3J5, ,4164410166,4164411241,travelinsurance@globalserve.net, , ,PGY
30,300,1,CRUISE LINES, ,DISNEY CRUISE LINE,210 Celebration Pl, ,Celebration,FL,34747-4,USA,8005118444,4075667353, ,http://www.disneycruise.com, , 
37,500,1,TOUR OPERATORS/WHOLESALES,Linda Caldes,ACCORD TRAVEL (TOURS) INC,777 Bay St,Suite 1908,Toronto,ON,M5G 2C8, ,4165993340,4165993405, , , ,ACTAPGY
48,500,1,TOUR OPERATORS/WHOLESALES,Franca Iuele,SIGNATURE VACATIONS,160 Bloor St E,Suite 400,Toronto,ON,M5W 1B9, ,4169671510,4169677154, ,http://www.signature.ca, , 
50,150,1,AIRLINES, ,AER LINGUS,538 Broadhollow Rd, ,Melville,NY,11747,USA,8002236537,6317522044, , , , 
55,150,1,AIRLINES,Iouri Tcheressov,AEROFLOT RUSSIAN INTERNATIONAL AIRLINES,615 de Maisonneuve Blvd W, ,Montreal,PQ,H3A 1L8, ,5142882125,5142885973, , , ,ACTAPGY
65,150,1,AIRLINES,Pierre Meslin,AIR AFRIQUE,1350 Avenue of the Americas, ,New York,NY,10019,USA,8003776660,2125417539, , , ,ACTAPGY
69,150,1,AIRLINES,Angela Mah,AIR BC,5520 Miller Rd, ,Richmond,BC,V7B 1L9, ,6042732464,6042442675, , , ,PGY
72,500,1,TOUR OPERATORS/WHOLESALES,Joan Ioannou,AIR CANADA VACATIONS,2700 Matheson Blvd E,6th Fl E Tower,Mississauga,ON,L4W 4V9, ,9056158020,9056157028, , , ,PGY
76,150,1,AIRLINES,J. Tong,AIR CHINA INTERNATIONAL CORP,700 Bay St Suite 1900,LuCliff Place,Toronto,ON,M5G 1Z6, ,4165818833,4165810056,airchina@idirect.com, , ,PGY
80,150,1,AIRLINES,Diane Bonenfant,AIR FRANCE,2000 Mansfield St,Suite 1510,Montreal,PQ,H3A 3A3, ,5148475000,5142858994, , , ,ACTAPGY
81,150,1,AIRLINES,Mr. Alan V. D'Souza,AIR INDIA,2325 Charles Gill, ,Montreal,PQ,H3M 1V8, ,5148782506,5148779899, , , ,PGY
85,150,1,AIRLINES,Norma E. Sale,AIR JAMAICA,4141 Yonge St,Suite 104,Toronto (North York),ON,M2P 2A8, ,4162296024,4162296003, , , ,PGY
92,150,1,AIRLINES,George Papamoros,AIR MAURITIUS,5925 Airport Rd,Suite 752,Mississauga,ON,L4V 1W1, ,9054050188,9054050191,airmauritius_ca@compuserve.com, , ,ACTAPGY
93,150,1,AIRLINES,A. Haziza,NEW CONCEPTS - CANADA,1595 Calverton Court, ,Mississauga,ON,L5G 2W4, ,9052748508,9052714603,alhaziza@newconcepts.ca,http://www.newconcepts.ca, ,ACTAPGY
93,151,1,AIRLINES, ,PACIFIC WINGS: Oahu-Molokai-Maui-Hawaii, , , , , , ,,, ,http://www.newconcepts.ca,NEW CONCEPTS - CANADA, 
93,152,1,AIRLINES, ,WINAIR / WINDWARD ISLANDS AIRWAYS INTERNATIONA, , , , , , ,,, ,http://www.newconcepts.ca,NEW CONCEPTS - CANADA, 
93,350,1,HOTEL REPS & CHAINS IN CANADA,A. Haziza,NEW CONCEPTS - CANADA,1595 Calverton Court, ,Mississauga,ON,L5G 2W4, ,9052748508,9052714603,alhaziza@newconcepts.ca,http://www.newconcepts.ca, ,ACTAPGY
93,351,1,HOTEL REPS & CHAINS IN CANADA,A. Haziza,DIVI RESORTS,1595 Calverton Court, ,Mississauga,ON,L5G 2W4, ,9052748508,9052714603,alhaziza@newconcepts.ca,http://www.newconcepts.ca,NEW CONCEPTS - CANADA, 
93,352,1,HOTEL REPS & CHAINS IN CANADA,A. Haziza,TIMBERWOODS VACATION VILLAS,7964 Timberwood Circle, ,Sarasota,FL,34238,USA,9419234966,9419243109,reserve@timberwoods.com,www.timberwoods.com,NEW CONCEPTS - CANADA, 
94,150,1,AIRLINES,Gayle Mackie,AIR NEW ZEALAND,#1250-888 Dunsmuir St, ,Vancouver,BC,V6C 3K4, ,6046060160,6046060155, , , ,ACTAPGY
100,150,1,AIRLINES,Franco Giampa,AIR ONTARIO INC.,1000 Air Ontario Dr,London Airport,London,ON,N5V 3S4, ,5194538440,5194538470, ,http://www.airontario.com, ,PGY
106,500,1,TOUR OPERATORS/WHOLESALES,Denise Heffron,AIR TRANSAT HOLIDAYS,300 Leo Parizeau,Suite 400 Box 2120,Montreal,PQ,H2W 2P6, ,5149871616,5149878029, , , ,ACTAPGY
119,500,1,TOUR OPERATORS/WHOLESALES,Amanda Gill,ALBATOURS,130 Merton St, ,Toronto,ON,M4S 1A4, ,4167462890,4167460397, ,http://www.albatours.com, ,PGY
164,150,1,AIRLINES,Debby Stephenson,ALOHA AIRLINES INC,PO Box 16110,3017 Mountain Hwy,N Vancouver,BC,V7J 3S9, ,8008039454,6049870771, , , ,ACTAPGY
168,351,1,HOTEL REPS & CHAINS IN CANADA,Nick Kissanis,AMALIA HOTELS (GREECE),214 Bedford Rd, ,Toronto,ON,M5R 2K9, ,4169674333,4169676147, , ,CHAT/TRAVELINE,ACTAPGY
168,350,1,HOTEL REPS & CHAINS IN CANADA,Nick Kissanis,CHAT/TRAVELINE,214 Bedford Rd, ,Toronto,ON,M5R 2K9, ,4169674333,4169676147, , , ,ACTAPGY
168,400,1,MOTOR COACH TOUR OPERATORS,Nick Kissanis,CHAT/TRAVELINE,214 Bedford Rd, ,Toronto,ON,M5R 2K9, ,4169674333,4169676147, , , ,ACTAPGY
168,400,1,MOTOR COACH TOUR OPERATORS,Nick Kissanis,CHAT/TRAVELINE,214 Bedford Rd, ,Toronto,ON,M5R 2K9, ,4169674333,4169676147, , , ,ACTAPGY
168,500,1,TOUR OPERATORS/WHOLESALES,Nick Kissanis,CHAT/TRAVELINE,214 Bedford Rd, ,Toronto,ON,M5R 2K9, ,4169674333,4169676147, , , ,ACTAPGY
168,500,1,TOUR OPERATORS/WHOLESALES,Nick Kissanis,CHAT/TRAVELINE,214 Bedford Rd, ,Toronto,ON,M5R 2K9, ,4169674333,4169676147, , , ,ACTAPGY
227,300,1,CRUISE LINES,Kitty Ruxton,AMERICAN HAWAII CRUISES,Robin St Wharf,1380 Port of New Orleans,New Orleans,LA,70130,USA,8007657000,5045850690, , , , 
228,500,1,TOUR OPERATORS/WHOLESALES,Jean-Marc Michaud,AMERICANADA INTERNATIONAL TOURS,300 Leo-Pariseau,Suite 1600,Montreal,PQ,H2W 2P6, ,5143846431,5143842245, , , ,ACTAPGY
231,450,1,RAILROADS,Kathleen Gordon,AMTRAK/NATIONAL RAILROAD PASSENGER CORPORATION,60 Massachusetts Ave. NE, ,Washington,DC,20002,USA,2029063516,2029062493, ,http://www.amtrak.com, ,PGY
234,400,1,MOTOR COACH TOUR OPERATORS,Heike Schmidt,PACIFIC GOLD TOURS,Century Square,#12-1835-56th St,Delta,BC,V4L 2L8, ,6049433200,6049435559,pacgold@attglobal.net, , ,ACTAPGY
234,500,1,TOUR OPERATORS/WHOLESALES,Heike Schmidt,PACIFIC GOLD TOURS,Century Square,#12-1835-56th St,Delta,BC,V4L 2L8, ,6049433200,6049435559,pacgold@attglobal.net, , ,ACTAPGY
258,200,1,ATTRACTIONS,Jaisvk McIndoe,ART GALLERY OF ONTARIO,317 Dundas St W, ,Toronto,ON,M5T 1G4, ,4169796660,4169778547, ,http://info.ago.net/, , 
284,500,1,TOUR OPERATORS/WHOLESALES,Paul E. Emmons,ATLANTIC TOURS GRAY LINE,1660 Hollis St,Suite 211,Halifax,NS,B3J 1V7, ,9024236242,9024235522,tours@atlantictours.com,http://www.atlantictours.com, ,PGY
291,350,1,HOTEL REPS & CHAINS IN CANADA,Gopal Rao,ROYAL HOST HOTELS & RESORTS,925 Dixon Rd, ,Toronto (Etobicoke),ON,M9W 1J8, ,4162139589,4162139664, , , ,ACTANEW
300,400,1,MOTOR COACH TOUR OPERATORS,Leslie-Marc Layman,TOUR MONDE BUS RENTALS LTD,2535 Cavendish Blvd,Suite 201,Montreal,PQ,H4B 2Y5, ,5144894918,5144895957, , , ,PGY
310,500,1,TOUR OPERATORS/WHOLESALES,Ruth Daly,AUSTRALIAN PACIFIC TOURS,Ste 630 W Tower Shipp Ct,3300 Bloor St W,Toronto,ON,M8X 2X2, ,4162349676,4162675427, ,http://www.aptours.com, ,ACTAPGY
313,150,1,AIRLINES, ,AUSTRIAN AIRLINES,5230 Pacific Concourse Dr,Suite 300,Los Angeles,CA,90045,USA,3106433760,3106433769, ,http://www.austrianair.com, ,ACTANEW
317,250,1,CAR RENTALS,Nanci Sullivan,AUTO EUROPE,39 Commercial St., ,Portland,ME,4101,USA,2078422000,2078422222, ,http://www.autoeurope.com, ,PGY
321,100,1,AIRLINE CONSOLIDATORS,Carmine Domenicucci,AVENTOURS INC.,1400 St. Laurent Blvd,Suite 501,Ottawa,ON,K1K 4H4, ,6137487759,6137481010,carmine@aventours.ca,http://www.aventours.ca, ,PGY
322,100,1,AIRLINE CONSOLIDATORS,Dr. Carlos Pechtel de A,AVILA TOURS INC.,10316-124 St, ,Edmonton,AB,T5N 1R2, ,7804823427,7804826900,sales@avilatours.ca, , ,ACTAPGY
322,300,1,CRUISE LINES,Dr. Carlos Pechtel de A,AVILA TOURS INC.,10316-124 St, ,Edmonton,AB,T5N 1R2, ,7804823427,7804826900,sales@avilatours.ca, , ,ACTAPGY
322,301,1,CRUISE LINES,Dr. Carlos Pechtel de A,GLOBAL QUEST,10316-124 St, ,Edmonton,AB,T5N 1R2, ,7804823427,7804826900,sales@avilatours.ca, ,AVILA TOURS INC., 
322,302,1,CRUISE LINES,Dr. Carlos Pechtel de A,MARINE EXPEDITIONS,10316-124 St, ,Edmonton,AB,T5N 1R2, ,7804823427,7804826900,sales@avilatours.ca, ,AVILA TOURS INC., 
322,303,1,CRUISE LINES,Dr. Carlos Pechtel de A,AMAZON RIVER CRUISES,10316-124 St, ,Edmonton,AB,T5N 1R2, ,7804823427,7804826900,sales@avilatours.ca, ,AVILA TOURS INC., 
322,304,1,CRUISE LINES, ,DANUBE CRUISES, , , , , , ,,, , ,AVILA TOURS INC., 
322,305,1,CRUISE LINES, ,EUROPE RIVER CRUISES/CROISI EUROPE, , , , , , ,,, , ,AVILA TOURS INC., 
322,306,1,CRUISE LINES, ,QUARK EXPEDITIONS, , , , , , ,,, , ,AVILA TOURS INC., 
322,500,1,TOUR OPERATORS/WHOLESALES,Dr. Carlos Pechtel de A,AVILA TOURS INC.,10316-124 St, ,Edmonton,AB,T5N 1R2, ,7804823427,7804826900,sales@avilatours.ca, , ,ACTAPGY
322,600,1,YACHT & BOAT CHARTERS,Dr. Carlos Pechtel de A,AVILA TOURS INC.,10316-124 St, ,Edmonton,AB,T5N 1R2, ,7804823427,7804826900,sales@avilatours.ca, , ,ACTAPGY
322,601,1,YACHT & BOAT CHARTERS, ,YANGTZE RIVER CRUISES, , , , , , ,,, , ,AVILA TOURS INC., 
322,602,1,YACHT & BOAT CHARTERS, ,TUMBACO GALAPAGOS YACHT CRUISES, , , , , , ,,, , ,AVILA TOURS INC., 
323,250,1,CAR RENTALS,Donna Arnott,AVIS RENT A CAR,1 Convair Dr E, ,Toronto (Etobicoke),ON,M9W 6Z9, ,4162138400,4162138515, , , ,ACTAPGY
334,500,1,TOUR OPERATORS/WHOLESALES,Christine Fong,BALI & ORIENT HOLIDAYS,841 W Broadway,Suite 200,Vancouver,BC,V52 1J9, ,6047360180,6047367154,bali@lynx.bc.ca, , ,ACTAPGY
369,500,1,TOUR OPERATORS/WHOLESALES,Benno Jaeger,BENNO'S ADVENTURE TOURS,#602-1818 W 6th Ave, ,Vancouver,BC,V6J 1R6, ,6047385105,6047389100,bennosadventure@home.com,http://www.bennosadventure.com, ,PGY
371,300,1,CRUISE LINES,Monika Tillman,BERGEN LINE INC.,405 Park Ave, ,New York,NY,10022,USA,2123191300,2123191390, ,http://www.coastalvoyage.com, ,PGY
374,350,1,HOTEL REPS & CHAINS IN CANADA,Rae Susan McDaid,BEST WESTERN INTERNATIONAL INC.,5915 Airport Rd,Suite 412,Mississauga,ON,L4V 1T1, ,9056730555,9056735061, , , ,ACTA
375,350,1,HOTEL REPS & CHAINS IN CANADA,A. Phillips,BEST WESTERN PRIMROSE HOTEL,111 Carlton St, ,Toronto,ON,M5B 2G3, ,4169778000,4169776323,sayell@sympatico.ca,http://www.bestwestern.com, ,PGY
376,500,1,TOUR OPERATORS/WHOLESALES,Khadim Nathoo,BESTWAY TOURS & SAFARI,206 - 8678 Greenall Ave, ,Burnaby,BC,V5J 3M6, ,6042647378,6042647774,bestway@bestway.com,http://www.bestway.com, ,PGY
395,300,1,CRUISE LINES,Sam Blyth,BLYTH & COMPANY TRAVEL LTD,13 Hazelton Ave, ,Toronto,ON,M5R 2E1, ,4169642569,4169643416,blythco@blythtravel.com,http://www.blythtravel.com, ,PGY
395,301,1,CRUISE LINES, ,CUBA CRUISE CORPORATION,13 Hazelton Ave, ,Toronto,ON,M5R 2E1, ,4169642569,4169645644,cuba@blythtravel.com,http://www.cubacruising.com,BLYTH & COMPANY TRAVEL LTD,PGY
395,450,1,RAILROADS,Sam Blyth,BLYTH & COMPANY TRAVEL LTD,13 Hazelton Ave, ,Toronto,ON,M5R 2E1, ,4169642569,4169643416,blythco@blythtravel.com,http://www.blythtravel.com, ,PGY
395,451,1,RAILROADS, ,THE ROYAL SCOTSMAN, , , , , , ,,, ,http://www.blythtravel.com,BLYTH & COMPANY TRAVEL LTD, 
395,452,1,RAILROADS, ,THE EASTERN & ORIENTAL EXPRESS, , , , , , ,,, ,http://www.blythtravel.com,BLYTH & COMPANY TRAVEL LTD, 
395,453,1,RAILROADS, ,ROVOS RAIL - SOUTH AFRICA, , , , , , ,,, ,http://www.blythtravel.com,BLYTH & COMPANY TRAVEL LTD, 
395,454,1,RAILROADS, ,THE BRITISH PULLMAN, , , , , , ,,, ,http://www.blythtravel.com,BLYTH & COMPANY TRAVEL LTD, 
395,455,1,RAILROADS, ,THE VENICE SIMPLON ORIENT EXPRESS, , , , , , ,,, ,http://www.blythtravel.com,BLYTH & COMPANY TRAVEL LTD, 
395,500,1,TOUR OPERATORS/WHOLESALES,Sam Blyth,BLYTH & COMPANY TRAVEL LTD,13 Hazelton Ave, ,Toronto,ON,M5R 2E1, ,4169642569,4169643416,blythco@blythtravel.com,http://www.blythtravel.com, ,PGY
395,501,1,TOUR OPERATORS/WHOLESALES, ,MOUNTAIN TRAVEL *SOBEK, , , , , , ,,, ,http://www.blythtravel.com,BLYTH & COMPANY TRAVEL LTD, 
395,502,1,TOUR OPERATORS/WHOLESALES, ,BACKROADS, , , , , , ,,, ,http://www.blythtravel.com,BLYTH & COMPANY TRAVEL LTD, 
395,503,1,TOUR OPERATORS/WHOLESALES, ,EXOTIC SUN, , , , , , ,,, ,http://www.blythtravel.com,BLYTH & COMPANY TRAVEL LTD, 
398,500,1,TOUR OPERATORS/WHOLESALES,Michael Delf,BON VOYAGE HOLIDAYS LTD,6421-120th St, ,Delta,BC,V4E 3G3, ,6045947515,6045945162, , , ,PGY
412,500,1,TOUR OPERATORS/WHOLESALES,Paul Marner,GOTTA TRAVEL! TOURS,19 River St,Suite 203,Toronto,ON,M5A 3P1, ,4169419100,4169419119,paul@gottatravel.com,http://www.gottatravel.com, ,PGY
420,150,1,AIRLINES,Stacey Tsassis,BRITISH AIRWAYS,4120 Yonge St,Suite 100,Toronto (North York),ON,M2P 2B8, ,4162500250,4162502024, ,http://www.britishairways.ca, ,ACTAPGY
420,500,1,TOUR OPERATORS/WHOLESALES,Stacey Tsassis,BRITISH AIRWAYS,4120 Yonge St,Suite 100,Toronto (North York),ON,M2P 2B8, ,4162500250,4162502024, ,http://www.britishairways.ca, ,ACTAPGY
445,250,1,CAR RENTALS,Valerie Nilsson,BUDGET RENT A CAR OF CANADA,3080 Yonge St,Suite 4000,Toronto,ON,M4N 3N1, ,4166223366,4166225555, , , ,ACTAPGY
453,500,1,TOUR OPERATORS/WHOLESALES,Bruce Wilson,BUST LOOSE HOLIDAYS,20150-50th Ave SW, ,Calgary,AB,T2G 5N3, ,4032433372,4032433407,travel@bustloose.com,http://www.bustloose.com, ,PGY
457,500,1,TOUR OPERATORS/WHOLESALES,George Butterfield,BUTTERFIELD & ROBINSON,70 Bond St,Suite 300,Toronto,ON,M5B 1X3, ,4168641354,4168640541,info@butterfield.com,http://www.butterfield.com, , 
461,150,1,AIRLINES,Margaret Dessandini,BWIA INTERNATIONAL,40 Holly St,Suite 401,Toronto,ON,M4S 3C3, ,4164400112,4164401899, , , ,ACTAPGY
499,200,1,ATTRACTIONS,Barry K. Dane,CALGARY STAMPEDE,PO Box 1060 Station M, ,Calgary,AB,T2P 2K8, ,4032610172,4032657187,barry.dane@calgarystampede.com,http://www.calgarystampede.com, ,PGY
516,150,1,AIRLINES,Troy Blinco,CANADA 3000 AIRLINES LTD,27 Fasken Dr, ,Toronto,ON,M8W 1K6, ,4166740257,4166740256, , , ,ACTA
517,250,1,CAR RENTALS,Brian Gronberg,CANADREAM CAMPERS,#2508-24th Ave NE, ,Calgary,AB,T1Y 6R8, ,4032911000,4032915509,res@canadream.com,http://www.canadream.com, ,ACTAPGY
522,500,1,TOUR OPERATORS/WHOLESALES,Elizabeth Liu,CANADA SWAN INTERNATIONAL TRAVEL,107-5701 Granville St., ,Vancouver,BC,V5M 4J7, ,6042663300,6042668867,swantvl@canadaswan.com,http://www.canadaswan.com, , 
